,T,N,p,k,I,f,life_hi,life_lo,om_hi,om_lo,dt
607,800,500,25.0,2.5,0.75,0.1,17.58793969849245,17.58793969849245,0.02666666666666667,0.02666666666666667,0.5
608,800,500,25.0,2.5,0.75,0.1,0.0,17.58793969849245,0.05333333333333334,0.05333333333333334,0.5
609,800,500,25.0,2.5,0.75,0.1,10.050251256281399,10.050251256281399,0.08,0.08,0.5
610,800,500,25.0,2.5,0.75,0.1,87.9396984924623,85.42713567839195,0.05333333333333334,0.05333333333333334,0.5
611,800,500,25.0,2.5,0.75,0.1,27.638190954773847,27.638190954773847,0.08,0.08,0.5
612,800,500,25.0,2.5,0.75,0.1,15.075376884422099,15.075376884422099,0.05333333333333334,0.05333333333333334,0.5
613,800,500,25.0,2.5,0.75,0.1,500.0,500.0,0.05333333333333334,0.05333333333333334,0.5
614,800,500,25.0,2.5,0.75,0.1,22.613065326633148,22.613065326633148,0.05333333333333334,0.05333333333333334,0.5
615,800,500,25.0,2.5,0.75,0.1,22.613065326633148,22.613065326633148,0.05333333333333334,0.05333333333333334,0.5
616,800,500,25.0,3.5,1.5,0.1,208.5427135678392,206.03015075376885,0.05333333333333334,0.05333333333333334,0.5
617,800,500,25.0,3.5,1.5,0.1,50.25125628140705,50.25125628140705,0.05333333333333334,0.05333333333333334,0.5
618,800,500,25.0,3.5,1.5,0.1,0.0,0.0,0.02666666666666667,0.02666666666666667,0.5
619,800,500,25.0,3.5,1.5,0.1,35.1758793969849,35.1758793969849,0.05333333333333334,0.05333333333333334,0.5
620,800,500,25.0,3.5,1.5,0.1,15.075376884422099,15.075376884422099,0.05333333333333334,0.05333333333333334,0.5
621,800,500,25.0,3.5,1.5,0.1,105.5276381909548,105.5276381909548,0.05333333333333334,0.05333333333333334,0.5
622,800,500,25.0,3.5,1.5,0.1,57.7889447236181,57.7889447236181,0.02666666666666667,0.02666666666666667,0.5
623,800,500,25.0,3.5,1.5,0.1,5.0251256281406995,5.0251256281406995,0.02666666666666667,0.02666666666666667,0.5
624,800,500,25.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
625,800,500,25.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
626,800,500,25.0,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.5
627,800,500,25.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
628,800,500,25.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
629,800,500,25.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
630,800,500,25.0,2.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
631,800,500,25.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
632,800,500,25.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
633,800,500,25.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
634,800,500,25.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
635,800,500,25.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
636,800,500,25.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
637,800,500,25.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
638,800,500,25.0,3.5,1.0,0.1,97.9899497487437,97.9899497487437,0.08,0.08,0.5
639,800,500,25.0,3.5,1.0,0.1,42.713567839196,42.713567839196,0.05333333333333334,0.05333333333333334,0.5
640,800,500,25.0,3.5,1.0,0.1,178.391959798995,178.391959798995,0.08,0.08,0.5
641,800,500,25.0,3.5,1.0,0.1,288.9447236180904,288.9447236180904,0.08,0.08,0.5
