,N,p,k,I,f,dt,om_max,life
74,5000,13.0,3.0,1.0,0.1,0.1,0.05333333333333334,15.151515151515156
75,5000,14.0,3.0,0.5,0.1,0.1,0.0,0.0
76,5000,14.0,3.0,0.75,0.1,0.1,0.08,55.55555555555554
77,5000,14.0,3.0,1.0,0.1,0.1,0.05333333333333334,20.202020202020208
78,5000,15.0,3.0,0.5,0.1,0.1,0.08,70.70707070707067
79,5000,15.0,3.0,0.75,0.1,0.1,0.08,60.60606060606062
80,5000,15.0,3.0,1.0,0.1,0.1,0.05333333333333334,30.30303030303031
81,5000,16.0,3.0,0.5,0.1,0.1,0.0,0.0
82,5000,16.0,3.0,0.75,0.1,0.1,0.08,70.70707070707067
83,5000,16.0,3.0,1.0,0.1,0.1,0.05333333333333334,45.45454545454544
84,5000,17.0,3.0,0.5,0.1,0.1,0.08,111.11111111111109
85,5000,17.0,3.0,0.75,0.1,0.1,0.08,85.85858585858585
86,5000,17.0,3.0,1.0,0.1,0.1,0.05333333333333334,50.50505050505052
87,5000,18.0,3.0,0.5,0.1,0.1,0.08,141.4141414141414
88,5000,18.0,3.0,0.75,0.1,0.1,0.08,101.01010101010104
89,5000,18.0,3.0,1.0,0.1,0.1,0.05333333333333334,60.60606060606062
90,5000,19.0,3.0,0.5,0.1,0.1,0.08,156.56565656565658
91,5000,19.0,3.0,0.75,0.1,0.1,0.08,121.21212121212119
92,5000,19.0,3.0,1.0,0.1,0.1,0.05333333333333334,75.75757575757575
93,5000,20.0,3.0,0.5,0.1,0.1,0.08,176.7676767676768
94,5000,20.0,3.0,0.75,0.1,0.1,0.08,131.3131313131313
95,5000,20.0,3.0,1.0,0.1,0.1,0.05333333333333334,85.85858585858585
96,5000,21.0,3.0,0.5,0.1,0.1,0.08,222.22222222222217
97,5000,21.0,3.0,0.75,0.1,0.1,0.08,161.6161616161616
98,5000,21.0,3.0,1.0,0.1,0.1,0.05333333333333334,101.01010101010104
99,5000,22.0,3.0,0.5,0.1,0.1,0.08,237.37373737373736
100,5000,22.0,3.0,0.75,0.1,0.1,0.08,196.969696969697
101,5000,22.0,3.0,1.0,0.1,0.1,0.08,116.16161616161617
102,5000,23.0,3.0,0.5,0.1,0.1,0.08,262.6262626262626
103,5000,23.0,3.0,0.75,0.1,0.1,0.08,222.22222222222217
104,5000,23.0,3.0,1.0,0.1,0.1,0.08,141.4141414141414
