,N,p,k,I,f,om_max,life,dt
0,5000,25.0,3.0,0.375,0.1,0.0,0.0,0.1
1,5000,25.0,3.0,0.375,0.1,0.0,0.0,0.1
2,5000,25.0,3.0,0.375,0.1,0.0,0.0,0.1
3,5000,25.0,3.0,0.375,0.1,0.0,0.0,0.1
4,5000,25.0,3.0,0.375,0.1,0.0,0.0,0.1
5,5000,25.0,3.0,0.375,0.1,0.0,0.0,0.1
6,5000,25.0,3.0,0.375,0.1,0.0,0.0,0.1
7,5000,25.0,3.0,0.375,0.1,0.0,0.0,0.1
8,5000,25.0,3.0,0.375,0.1,0.0,0.0,0.1
9,5000,25.0,3.0,0.375,0.1,0.0,0.0,0.1
10,5000,25.0,3.0,0.375,0.1,0.0,0.0,0.1
11,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,50.50505050505052,0.1
12,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
13,1000,15.0,3.0,0.6749999999999999,0.1,0.08,35.353535353535335,0.1
14,1000,15.0,3.0,0.6749999999999999,0.1,0.08,106.06060606060606,0.1
15,1000,15.0,3.0,0.6749999999999999,0.1,0.08,70.70707070707067,0.1
16,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,40.404040404040416,0.1
17,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,50.50505050505052,0.1
18,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
19,1000,15.0,3.0,0.6749999999999999,0.1,0.08,20.202020202020208,0.1
20,1000,15.0,3.0,0.6749999999999999,0.1,0.08,202.02020202020202,0.1
21,1000,15.0,3.0,0.6749999999999999,0.1,0.08,156.56565656565658,0.1
22,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,45.45454545454544,0.1
23,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,30.30303030303031,0.1
24,1000,15.0,3.0,0.6749999999999999,0.1,0.08,75.75757575757575,0.1
25,1000,15.0,3.0,0.6749999999999999,0.1,0.08,10.101010101010104,0.1
26,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,35.353535353535335,0.1
27,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
28,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,10.101010101010104,0.1
29,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,75.75757575757575,0.1
30,1000,15.0,3.0,0.6749999999999999,0.1,0.08,50.50505050505052,0.1
31,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,65.65656565656565,0.1
32,1000,15.0,3.0,0.6749999999999999,0.1,0.08,10.101010101010104,0.1
33,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,5.050505050505052,0.1
34,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,45.45454545454544,0.1
35,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,45.45454545454544,0.1
36,1000,15.0,3.0,0.6749999999999999,0.1,0.08,30.30303030303031,0.1
37,1000,15.0,3.0,0.6749999999999999,0.1,0.08,131.3131313131313,0.1
38,1000,15.0,3.0,0.6749999999999999,0.1,0.08,45.45454545454544,0.1
