,N,p,k,I,f,dt,om_max,life
73,5000,13.0,3.0,0.75,0.1,0.1,0.05333333333333334,42.30846169233848
74,5000,13.0,3.0,1.0,0.1,0.1,0.05333333333333334,12.602520504100823
75,5000,14.0,3.0,0.5,0.1,0.1,0.0,0.0
76,5000,14.0,3.0,0.75,0.1,0.1,0.08,55.81116223244649
77,5000,14.0,3.0,1.0,0.1,0.1,0.05333333333333334,26.105221044208832
78,5000,15.0,3.0,0.5,0.1,0.1,0.08,70.51410282056412
79,5000,15.0,3.0,0.75,0.1,0.1,0.08,64.01280256051211
80,5000,15.0,3.0,1.0,0.1,0.1,0.05333333333333334,32.30646129225846
81,5000,16.0,3.0,0.5,0.1,0.1,0.0,0.0
82,5000,16.0,3.0,0.75,0.1,0.1,0.08,71.9143828765753
83,5000,16.0,3.0,1.0,0.1,0.1,0.05333333333333334,46.50930186037209
84,5000,17.0,3.0,0.5,0.1,0.1,0.08,111.8223644728946
85,5000,17.0,3.0,0.75,0.1,0.1,0.08,86.51730346069212
86,5000,17.0,3.0,1.0,0.1,0.1,0.05333333333333334,53.510702140428094
87,5000,18.0,3.0,0.5,0.1,0.1,0.08,140.12802560512102
88,5000,18.0,3.0,0.75,0.1,0.1,0.08,101.22024404880977
89,5000,18.0,3.0,1.0,0.1,0.1,0.05333333333333334,62.312462492498526
90,5000,19.0,3.0,0.5,0.1,0.1,0.08,159.53190638127626
91,5000,19.0,3.0,0.75,0.1,0.1,0.08,122.42448489697938
92,5000,19.0,3.0,1.0,0.1,0.1,0.05333333333333334,76.61532306461294
93,5000,20.0,3.0,0.5,0.1,0.1,0.08,178.43568713742752
94,5000,20.0,3.0,0.75,0.1,0.1,0.08,131.126225245049
95,5000,20.0,3.0,1.0,0.1,0.1,0.05333333333333334,88.31766353270655
96,5000,21.0,3.0,0.5,0.1,0.1,0.08,223.0446089217844
97,5000,21.0,3.0,0.75,0.1,0.1,0.08,161.6323264652931
98,5000,21.0,3.0,1.0,0.1,0.1,0.08,100.82016403280659
99,5000,22.0,3.0,0.5,0.1,0.1,0.08,235.04700940188036
100,5000,22.0,3.0,0.75,0.1,0.1,0.08,196.43928785757151
101,5000,22.0,3.0,1.0,0.1,0.1,0.08,118.0236047209442
102,5000,23.0,3.0,0.5,0.1,0.1,0.08,262.1524304860972
103,5000,23.0,3.0,0.75,0.1,0.1,0.08,224.14482896579318
